time_seconds,amplitude_raw
0.0010825,7008
0.00108375,6977
0.001085,7043
0.00108625,7129
0.0010875,7096
0.00108875,6829
0.00109,6293
0.00109125,5562
0.0010925,4782
0.00109375,4091
0.001095,3598
0.00109625,3289
0.0010975,3154
0.00109875,3057
0.0011,2902
0.00110125,2669
0.0011025,2373
0.00110375,2067
0.001105,1849
0.00110625,1757
0.0011075,1769
0.00110875,1882
0.00111,1990
0.00111125,2040
0.0011125,2041
0.00111375,1984
0.001115,1928
0.00111625,1972
0.0011175,2116
0.00111875,2325
0.00112,2550
0.00112125,2706
0.0011225,2763
0.00112375,2685
0.001125,2628
0.00112625,2645
0.0011275,2819
0.00112875,3102
0.00113,3453
0.00113125,3792
0.0011325,4005
0.00113375,4017
0.001135,3903
0.00113625,3750
0.0011375,3653
0.00113875,3688
0.00114,3877
0.00114125,4121
0.0011425,4347
0.00114375,4506
0.001145,4623
0.00114625,4741
0.0011475,4899
0.00114875,5127
0.00115,5354
0.00115125,5600
0.0011525,5854
0.00115375,6085
0.001155,6288
0.00115625,6449
0.0011575,6503
0.00115875,6473
0.00116,6488
0.00116125,6478
0.0011625,6555
0.00116375,6679
0.001165,6762
0.00116625,6727
0.0011675,6590
0.00116875,6395
0.00117,6249
0.00117125,6216
0.0011725,6301
0.00117375,6407
0.001175,6458
0.00117625,6405
0.0011775,6298
0.00117875,6174
0.00118,6104
0.00118125,6116
0.0011825,6131
0.00118375,6106
0.001185,6014
0.00118625,5887
0.0011875,5780
0.00118875,5700
0.00119,5617
0.00119125,5408
0.0011925,5037
0.00119375,4530
0.001195,3996
0.00119625,3701
0.0011975,3623
0.00119875,3669
0.0012,3701
0.00120125,3559
0.0012025,3234
0.00120375,2749
0.001205,2341
0.00120625,2118
0.0012075,2089
0.00120875,2188
0.00121,2279
0.00121125,2283
0.0012125,2173
0.00121375,2000
0.001215,1861
0.00121625,1802
0.0012175,1829
0.00121875,1925
0.00122,2072
0.00122125,2196
0.0012225,2220
0.00122375,2154
0.001225,2058
0.00122625,2035
0.0012275,2182
0.00122875,2506
0.00123,2891
0.00123125,3237
0.0012325,3360
0.00123375,3327
0.001235,3237
0.00123625,3223
0.0012375,3354
0.00123875,3653
0.00124,4024
0.00124125,4345
0.0012425,4603
0.00124375,4808
0.001245,5001
0.00124625,5252
0.0012475,5545
0.00124875,5823
0.00125,6101
0.00125125,6307
0.0012525,6434
0.00125375,6533
0.001255,6593
0.00125625,6622
0.0012575,6649
0.00125875,6643
0.00126,6611
0.00126125,6564
0.0012625,6499
0.00126375,6445
0.001265,6413
0.00126625,6447
0.0012675,6456
0.00126875,6459
0.00127,6427
0.00127125,6358
0.0012725,6298
0.00127375,6261
0.001275,6273
0.00127625,6281
0.0012775,6309
0.00127875,6263
0.00128,6169
0.00128125,6013
0.0012825,5858
0.00128375,5741
0.001285,5667
0.00128625,5666
0.0012875,5673
0.00128875,5606
0.00129,5459
0.00129125,5136
0.0012925,4689
0.00129375,4196
0.001295,3760
0.00129625,3506
0.0012975,3447
0.00129875,3538
0.0013,3608
0.00130125,3475
0.0013025,3060
0.00130375,2403
0.001305,1671
0.00130625,1106
0.0013075,846
0.00130875,883
0.00131,1135
0.00131125,1442
0.0013125,1680
0.00131375,1765
0.001315,1711
0.00131625,1543
0.0013175,1347
0.00131875,1194
0.00132,1105
0.00132125,1122
0.0013225,1229
0.00132375,1495
0.001325,1921
0.00132625,2448
0.0013275,2970
0.00132875,3407
0.00133,3640
0.00133125,3725
0.0013325,3709
0.00133375,3745
0.001335,3931
0.00133625,4270
0.0013375,4679
0.00133875,5016
0.00134,5178
0.00134125,5134
0.0013425,4984
0.00134375,4893
0.001345,4905
0.00134625,5044
0.0013475,5241
0.00134875,5400
0.00135,5468
0.00135125,5457
0.0013525,5392
0.00135375,5380
0.001355,5415
0.00135625,5558
0.0013575,5802
0.00135875,6071
0.00136,6298
0.00136125,6443
0.0013625,6522
0.00136375,6541
0.001365,6596
0.00136625,6700
0.0013675,6851
0.00136875,7009
0.00137,7087
0.00137125,7081
0.0013725,6876
0.00137375,6656
0.001375,6464
0.00137625,6381
0.0013775,6364
0.00137875,6337
0.00138,6221
0.00138125,6012
0.0013825,5733
0.00138375,5474
0.001385,5295
0.00138625,5231
0.0013875,5272
0.00138875,5319
0.00139,5353
0.00139125,5254
0.0013925,4934
0.00139375,4437
0.001395,3871
0.00139625,3396
0.0013975,3128
0.00139875,3069
0.0014,3146
0.00140125,3200
0.0014025,3042
0.00140375,2692
0.001405,2244
0.00140625,1831
0.0014075,1540
0.00140875,1447
0.00141,1472
0.00141125,1495
0.0014125,1428
0.00141375,1265
0.001415,1061
0.00141625,895
0.0014175,821
0.00141875,872
0.00142,1010
0.00142125,1215
0.0014225,1486
0.00142375,1775
0.001425,2070
0.00142625,2285
